sale_start,sale_end,product_name,specification,price_ex_tax_yen,price_in_tax_yen,tax_rate,category,source_image
2026-09-12,2026-09-12,国産 黒毛和牛 切り落とし（焼肉用）,100g当り,399,430,0.08,精肉,351-1_15968215_0.jpg
2026-09-12,2026-09-12,若鶏モモ肉（超メガ盛り・4枚入以上）,100g当り,99,106,0.08,精肉,351-1_15968215_0.jpg
2026-09-12,2026-09-12,豚肉ロースうすぎり（ジャンボパック）,100g当り,99,106,0.08,精肉,351-1_15968215_0.jpg
2026-09-12,2026-09-12,日清製粉ウェルナ 大盛りスパゲティ各種,各1袋,159,171,0.08,冷凍食品,351-1_15968215_0.jpg
2026-09-12,2026-09-12,冷凍米飯各種（炒飯・えびピラフ等）,各1袋,299,322,0.08,冷凍食品,351-1_15968215_0.jpg
2026-09-12,2026-09-12,冷凍から揚げ各種,各1袋,349,376,0.08,冷凍食品,351-1_15968215_0.jpg
2026-09-12,2026-09-12,惣菜コロッケ,1個,60,64,0.08,惣菜,351-1_15968215_0.jpg
2026-09-12,2026-09-12,豆腐各種,各1パック,88,95,0.08,日配食品,351-1_15968215_0.jpg
2026-09-12,2026-09-12,S&B ゴールデンカレー各種,各1箱,179,193,0.08,調味料,351-1_15968215_0.jpg
2026-09-12,2026-09-12,ご飯大盛 唐揚げ弁当,1パック,390,421,0.08,惣菜,351-1_15968215_0.jpg
2026-09-12,2026-09-12,千葉県産 ふさおとめ,5kg,2290,2473,0.08,米,351-1_15968215_0.jpg
2026-09-12,2026-09-12,国産 黒毛和牛 ロースステーキ用,100g当り,690,745,0.08,精肉,351-1_15968215_0.jpg
2026-09-12,2026-09-12,握り寿司（極）,1パック,699,754,0.08,寿司,351-1_15968215_0.jpg
2026-09-12,2026-09-12,シャインマスカット,1パック,780,842,0.08,青果,351-1_15968215_0.jpg
2026-09-12,2026-09-12,インド産 えび（養殖・解凍）,1パック,399,430,0.08,鮮魚,351-1_15968215_0.jpg
2026-09-12,2026-09-12,茨城県産 ピーマン,1袋,99,106,0.08,青果,351-1_15968215_0.jpg
2026-09-12,2026-09-12,銀鮭西京焼き＆天ぷら御膳,1パック,490,529,0.08,惣菜,351-1_15968215_0.jpg
2026-09-12,2026-09-12,木村屋 あんぱん各種,各1個,79,85,0.08,パン,351-1_15968215_0.jpg
2026-09-12,2026-09-12,モンテール スイーツ各種,各1個,99,106,0.08,菓子,351-1_15968215_0.jpg
2026-09-13,2026-09-13,チリ産 生アトランティックサーモン（養殖）ブロック,100g当り,299,322,0.08,鮮魚,351-1_15968215_0.jpg
2026-09-13,2026-09-13,たまご,10個入,199,214,0.08,日配食品,351-1_15968215_0.jpg
2026-09-13,2026-09-13,豚肉ロース生姜焼用（超メガ盛り）,100g当り,99,106,0.08,精肉,351-1_15968215_0.jpg
2026-09-13,2026-09-13,銀鮭切身（養殖・解凍）,100g当り,159,171,0.08,鮮魚,351-1_15968215_0.jpg
2026-09-13,2026-09-13,国産 牛肉カルビ焼肉用（三角バラ）,100g当り,499,538,0.08,精肉,351-1_15968215_0.jpg
2026-09-13,2026-09-13,中華丼,1パック,390,421,0.08,惣菜,351-1_15968215_0.jpg
2026-09-13,2026-09-13,海老ちらし,1パック,390,421,0.08,惣菜,351-1_15968215_0.jpg
2026-09-13,2026-09-13,焼き鳥重,1パック,390,421,0.08,惣菜,351-1_15968215_0.jpg
2026-09-13,2026-09-13,ダブル大海老天重,1パック,490,529,0.08,惣菜,351-1_15968215_0.jpg
2026-09-13,2026-09-13,北海道産 かぼちゃ,100g当り,39,42,0.08,青果,351-1_15968215_0.jpg
2026-09-13,2026-09-13,バナナ,1袋,99,106,0.08,青果,351-1_15968215_0.jpg
2026-09-13,2026-09-13,豚肉ロース しゃぶしゃぶ用・切り落とし,100g当り,99,106,0.08,精肉,351-1_15968215_0.jpg
2026-09-13,2026-09-13,牛肉切り落とし（ジャンボパック）,320g入,1000,1080,0.08,精肉,351-1_15968215_0.jpg
2026-09-13,2026-09-13,新潟県産 コシヒカリ,5kg,1990,2149,0.08,米,351-1_15968215_0.jpg
2026-09-13,2026-09-13,若鶏手羽元,100g当り,69,74,0.08,精肉,351-1_15968215_0.jpg
2026-09-13,2026-09-13,マルちゃん 焼そば各種,各3人前,139,150,0.08,麺類,351-1_15968215_0.jpg
2026-09-13,2026-09-13,豚肉こま切れ,100g当り,99,106,0.08,精肉,351-1_15968215_0.jpg
2026-09-13,2026-09-13,味の素 ギョーザ,1袋,179,193,0.08,冷凍食品,351-1_15968215_0.jpg
2026-09-13,2026-09-13,ファンナー 100%アップルジュース,1000ml,199,214,0.08,飲料,351-1_15968215_0.jpg
2026-09-13,2026-09-13,とんかつ,1枚,290,313,0.08,惣菜,351-1_15968215_0.jpg
2026-09-13,2026-09-13,寿司盛合せ,1パック,579,625,0.08,寿司,351-1_15968215_0.jpg
2026-09-13,2026-09-13,豚肉ロース切身,100g当り,159,171,0.08,精肉,351-1_15968215_0.jpg
2026-09-13,2026-09-13,じゃがいも,1袋,299,322,0.08,青果,351-1_15968215_0.jpg
2026-09-13,2026-09-13,玉ねぎ,1袋,299,322,0.08,青果,351-1_15968215_0.jpg
2026-09-13,2026-09-13,Newヤクルト,10本入,359,387,0.08,飲料,351-1_15968215_0.jpg
2026-09-14,2026-09-14,モランボン 韓の食菜 石焼風ビビンバ,1袋,199,214,0.08,加工食品,351-1_15968215_1.jpg
2026-09-14,2026-09-14,モランボン 韓の食菜 春雨プルコギ,1袋,199,214,0.08,加工食品,351-1_15968215_1.jpg
2026-09-14,2026-09-14,モランボン 韓の食菜 チャプチェ,1袋,199,214,0.08,加工食品,351-1_15968215_1.jpg
2026-09-14,2026-09-14,牛豚挽肉（超メガ盛り）,100g当り,99,106,0.08,精肉,351-1_15968215_1.jpg
2026-09-14,2026-09-14,日清 カップヌードル各種,各1個,159,171,0.08,加工食品,351-1_15968215_1.jpg
2026-09-14,2026-09-14,かつおたたき（刺身用）,100g当り,199,214,0.08,鮮魚,351-1_15968215_1.jpg
2026-09-14,2026-09-14,冷凍あんかけラーメン・焼そば各種,各1袋,299,322,0.08,冷凍食品,351-1_15968215_1.jpg
2026-09-14,2026-09-14,ヤマザキ コロネ（ダブルマロン）,1個,99,106,0.08,パン,351-1_15968215_1.jpg
2026-09-14,2026-09-14,ヤマザキ ふんわりシフォンパン,1個,99,106,0.08,パン,351-1_15968215_1.jpg
2026-09-14,2026-09-14,ヤマザキ うずまきマロンデニッシュ,1個,99,106,0.08,パン,351-1_15968215_1.jpg
2026-09-14,2026-09-14,カナダ産 豚肉切り落とし,100g当り,119,128,0.08,精肉,351-1_15968215_1.jpg
2026-09-14,2026-09-14,国産 牛肉切り落とし,100g当り,299,322,0.08,精肉,351-1_15968215_1.jpg
2026-09-14,2026-09-14,国産 豚白もつ,100g当り,88,95,0.08,精肉,351-1_15968215_1.jpg
2026-09-14,2026-09-14,にんじん,1袋,99,106,0.08,青果,351-1_15968215_1.jpg
2026-09-14,2026-09-14,ナポリタン,1パック,290,313,0.08,惣菜,351-1_15968215_1.jpg
2026-09-14,2026-09-14,海鮮盛,1パック,580,626,0.08,鮮魚,351-1_15968215_1.jpg
2026-09-14,2026-09-14,クリームコロッケ,1パック,290,313,0.08,惣菜,351-1_15968215_1.jpg
2026-09-14,2026-09-14,若鶏レバー,100g当り,29,31,0.08,精肉,351-1_15968215_1.jpg
2026-09-15,2026-09-15,赤城乳業 ガツン、とみかん,1箱,199,214,0.08,アイス,351-1_15968215_1.jpg
2026-09-15,2026-09-15,カルピスアイスバー,1箱,222,239,0.08,アイス,351-1_15968215_1.jpg
2026-09-15,2026-09-15,森永乳業 PARM チョコレート,1箱,299,322,0.08,アイス,351-1_15968215_1.jpg
2026-09-15,2026-09-15,豚肉こま切れ（超メガ盛り）,100g当り,99,106,0.08,精肉,351-1_15968215_1.jpg
2026-09-15,2026-09-15,中巻寿司バイキング各種,各1本,99,106,0.08,寿司,351-1_15968215_1.jpg
2026-09-15,2026-09-15,オランジェ とろ～りカスタードプチシュー,1袋,88,95,0.08,菓子,351-1_15968215_1.jpg
2026-09-15,2026-09-15,あんバターどらやき,1個,88,95,0.08,菓子,351-1_15968215_1.jpg
2026-09-15,2026-09-15,もちもちロール,1個,88,95,0.08,菓子,351-1_15968215_1.jpg
2026-09-15,2026-09-15,牧場の朝ヨーグルト等,各1パック,99,106,0.08,日配食品,351-1_15968215_1.jpg
2026-09-15,2026-09-15,太平洋産 びんちょうまぐろ（解凍）,100g当り,159,171,0.08,鮮魚,351-1_15968215_1.jpg
2026-09-15,2026-09-15,明治 えびグラタン,3個入,333,359,0.08,冷凍食品,351-1_15968215_1.jpg
2026-09-15,2026-09-15,明治 えびドリア,3個入,333,359,0.08,冷凍食品,351-1_15968215_1.jpg
2026-09-15,2026-09-15,日清 ソース焼きそばカップ等,各1個,100,108,0.08,加工食品,351-1_15968215_1.jpg
2026-09-15,2026-09-15,ヤマザキ ロイヤルブレッド,1袋,159,171,0.08,パン,351-1_15968215_1.jpg
2026-09-15,2026-09-15,美山 焼肉屋の味キムチ,1パック,159,171,0.08,日配食品,351-1_15968215_1.jpg
2026-09-15,2026-09-15,マルちゃん チャーハン各種,各1袋,159,171,0.08,冷凍食品,351-1_15968215_1.jpg
2026-09-15,2026-09-15,日清ヨーク ピルクル400,1パック,199,214,0.08,飲料,351-1_15968215_1.jpg
2026-09-15,2026-09-15,だし香る濃いかつ丼（大）,1パック,399,430,0.08,惣菜,351-1_15968215_1.jpg
2026-09-15,2026-09-15,茨城県産 ミルキークイーン,5kg,2290,2473,0.08,米,351-1_15968215_1.jpg
2026-09-15,2026-09-15,豚肩ロース切り落とし,100g当り,99,106,0.08,精肉,351-1_15968215_1.jpg
2026-09-15,2026-09-15,豚ロース味噌漬,100g当り,99,106,0.08,精肉,351-1_15968215_1.jpg
2026-09-15,2026-09-15,牛肉切り落とし,100g当り,199,214,0.08,精肉,351-1_15968215_1.jpg
2026-09-15,2026-09-15,フランスパン各種,各1個,88,95,0.08,パン,351-1_15968215_1.jpg
2026-09-15,2026-09-15,海鮮丼,1パック,390,421,0.08,惣菜,351-1_15968215_1.jpg
2026-09-15,2026-09-15,雪国ぶなしめじ・雪国まいたけ等,各1パック,88,95,0.08,青果,351-1_15968215_1.jpg
2026-09-15,2026-09-15,若鶏モモ肉（超メガ盛り・4枚入以上）,100g当り,88,95,0.08,精肉,351-1_15968215_1.jpg
2026-09-15,2026-09-15,湖池屋 ポテトチップス各種,各1袋,88,95,0.08,菓子,351-1_15968215_1.jpg
2026-09-15,2026-09-15,金澤兼六製菓 ケーキ各種,各1個,88,95,0.08,菓子,351-1_15968215_1.jpg
2026-09-16,2026-09-16,ロシア産 子持ち浅羽かれい（解凍）,100g当り,100,108,0.08,鮮魚,351-1_15968215_1.jpg
2026-09-16,2026-09-16,銘柄ポーク 豚肉こま切れ（超メガ盛り）,100g当り,99,106,0.08,精肉,351-1_15968215_1.jpg
2026-09-16,2026-09-16,豚肉ロース とんかつ用（ジャンボパック）,100g当り,99,106,0.08,精肉,351-1_15968215_1.jpg
2026-09-16,2026-09-16,ビヒダスヨーグルト各種,各1パック,159,171,0.08,日配食品,351-1_15968215_1.jpg
2026-09-16,2026-09-16,牛肉プルコギ風味付,100g当り,199,214,0.08,精肉,351-1_15968215_1.jpg
2026-09-16,2026-09-16,トロピカーナ 果実飲料各種,各900ml,222,239,0.08,飲料,351-1_15968215_1.jpg
2026-09-16,2026-09-16,相模屋 木綿・絹 ダブルパック,各1パック,88,95,0.08,日配食品,351-1_15968215_1.jpg
2026-09-16,2026-09-16,銘柄ポーク 豚肩ロースうすぎり,100g当り,179,193,0.08,精肉,351-1_15968215_1.jpg
2026-09-16,2026-09-16,豚生姜焼き弁当,1パック,390,421,0.08,惣菜,351-1_15968215_1.jpg
2026-09-16,2026-09-16,キャベツ,1玉,149,160,0.08,青果,351-1_15968215_1.jpg
2026-09-16,2026-09-16,赤魚粕漬切身,1パック,299,322,0.08,鮮魚,351-1_15968215_1.jpg
2026-09-16,2026-09-16,だし巻玉子,1本,399,430,0.08,日配食品,351-1_15968215_1.jpg
2026-09-16,2026-09-16,さんま塩焼,1パック,290,313,0.08,惣菜,351-1_15968215_1.jpg
2026-09-16,2026-09-16,冷凍炒飯・焼飯各種,各1袋,333,359,0.08,冷凍食品,351-1_15968215_1.jpg
2026-09-16,2026-09-16,明太子,1パック,299,322,0.08,鮮魚,351-1_15968215_1.jpg
2026-09-16,2026-09-16,炭火焼鶏,1パック,290,313,0.08,惣菜,351-1_15968215_1.jpg
2026-09-17,2026-09-17,北海道産 大根,1本,149,160,0.08,青果,351-1_15968215_1.jpg
2026-09-17,2026-09-17,相模屋 おだしがしみた油揚げスンドゥブ・麻婆豆腐等,各1セット,159,171,0.08,日配食品,351-1_15968215_1.jpg
2026-09-17,2026-09-17,国産 若鶏手羽元（解凍含む）,100g当り,79,85,0.08,精肉,351-1_15968215_1.jpg
2026-09-17,2026-09-17,十勝ミルクきわだつヨーグルト,1パック,149,160,0.08,日配食品,351-1_15968215_1.jpg
2026-09-17,2026-09-17,えび（バナメイ・養殖解凍）,100g当り,179,193,0.08,鮮魚,351-1_15968215_1.jpg
2026-09-17,2026-09-17,おつまみ惣菜各種,各1パック,88,95,0.08,惣菜,351-1_15968215_1.jpg
2026-09-17,2026-09-17,豚肉ロース しゃぶしゃぶ用・切り落とし,100g当り,129,139,0.08,精肉,351-1_15968215_1.jpg
2026-09-17,2026-09-17,ブルーベリー,1パック,199,214,0.08,青果,351-1_15968215_1.jpg
2026-09-17,2026-09-17,豚挽肉,100g当り,99,106,0.08,精肉,351-1_15968215_1.jpg
2026-09-17,2026-09-17,具沢山天丼,1パック,390,421,0.08,惣菜,351-1_15968215_1.jpg
2026-09-17,2026-09-17,豚肉切り落とし,100g当り,99,106,0.08,精肉,351-1_15968215_1.jpg
2026-09-17,2026-09-17,牛肉 肩またはモモうす切り,100g当り,299,322,0.08,精肉,351-1_15968215_1.jpg
2026-09-17,2026-09-17,むきえび（バナメイ・養殖解凍）,200g入,500,540,0.08,鮮魚,351-1_15968215_1.jpg
2026-09-17,2026-09-17,いちごミルクドーナツ,1袋,259,279,0.08,菓子,351-1_15968215_1.jpg
2026-09-17,2026-09-17,低糖質米のおいしいごはん,1箱,999,1078,0.08,米飯,351-1_15968215_1.jpg
2026-09-17,2026-09-17,ふっくら肉団子,1パック,290,313,0.08,惣菜,351-1_15968215_1.jpg
2026-09-17,2026-09-17,刺身盛り,1パック,580,626,0.08,鮮魚,351-1_15968215_1.jpg
2026-09-17,2026-09-17,冷凍ライスバーガー各種,各1個,129,139,0.08,冷凍食品,351-1_15968215_1.jpg
2026-09-18,2026-09-18,秋田県産 長ねぎ（2本入）,1束,149,160,0.08,青果,351-1_15968215_1.jpg
2026-09-18,2026-09-18,明星 評判屋 5食パック各種,各5食,259,279,0.08,加工食品,351-1_15968215_1.jpg
2026-09-18,2026-09-18,森永乳業 MOW各種,各1個,88,95,0.08,アイス,351-1_15968215_1.jpg
2026-09-18,2026-09-18,フジパン ネオバターロール各種,各1袋,169,182,0.08,パン,351-1_15968215_1.jpg
2026-09-18,2026-09-18,国産 牛肉肩ロースうす切り,100g当り,499,538,0.08,精肉,351-1_15968215_1.jpg
2026-09-18,2026-09-18,果実飲料各種,各1本,129,139,0.08,飲料,351-1_15968215_1.jpg
2026-09-18,2026-09-18,モンテール 牛乳と卵のデザート各種,各1パック,179,193,0.08,菓子,351-1_15968215_1.jpg
2026-09-18,2026-09-18,かつおたたき（刺身用）,100g当り,199,214,0.08,鮮魚,351-1_15968215_1.jpg
2026-09-18,2026-09-18,ブラジル産 若鶏モモ肉（超メガ盛り・4枚入以上）,100g当り,88,95,0.08,精肉,351-1_15968215_1.jpg
2026-09-18,2026-09-18,鶏もも唐揚げ弁当,1パック,390,421,0.08,惣菜,351-1_15968215_1.jpg
2026-09-18,2026-09-18,豚肉バラ切り落とし（解凍）,100g当り,159,171,0.08,精肉,351-1_15968215_1.jpg
2026-09-18,2026-09-18,豚肉バラかたまり（解凍）,100g当り,159,171,0.08,精肉,351-1_15968215_1.jpg
